Employee_ID,Employee_Name,Department_ID,Department,Business_Unit,Organizational_Unit_ID,Position_ID,Position_Title,Designation,Job_Level,Career_Level,Role_Band,Management_Tier,Manager_Flag,Measurement_Scope,Performance_Template_ID,Performance_Cycle_ID,Mapping_Status,Effective_Start_Date,Effective_End_Date,Data_As_Of_Date
EMP181,Saad Yousaf,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,POS-181,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP182,Waqas Ahmad,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-03,POS-182,Account Manager,Senior Sales Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-SAL-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP183,Zain Saleem,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-183,IT Support Engineer,Junior IT Engineer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-IT-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP184,Iqra Hassan,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,POS-184,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP185,Salman Hameed,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-185,Senior Financial Analyst,Senior Financial Analyst,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-FIN-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP186,Zara Masood,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-01,POS-186,Systems Administrator,IT Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-IT-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP187,Nida Mahmood,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,POS-187,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP188,Areeba Ahmad,DEPARTMENT-007,IT,Technology and Innovation,ORGANIZATIONAL-UNIT-IT-TEAM-03,POS-188,Senior Systems Engineer,Senior IT Engineer,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-IT-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP189,Omer Masood,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,POS-189,Engineering Lead,Engineering Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP190,Noor Saeed,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,POS-190,HR Officer,HR Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP191,Danish Yousaf,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-03,POS-191,Operations Analyst,Operations Specialist,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-OPS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP192,Kashif Hussain,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,POS-192,Sales Executive,Sales Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-SAL-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP193,Zain Qureshi,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-02,POS-193,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP194,Shahid Ahmad,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-194,Senior Support Executive,Senior Support Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP195,Mohsin Khan,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG,POS-195,Engineering Lead,Engineering Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-ENG-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP196,Mohsin Abbasi,DEPARTMENT-005,Engineering,Technology and Innovation,ORGANIZATIONAL-UNIT-ENG-TEAM-02,POS-196,Software Engineer II,Software Engineer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-ENG-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP197,Zeeshan Qureshi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,POS-197,HR Manager,HR Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP198,Ali Tariq,DEPARTMENT-006,Operations,Enterprise Operations,ORGANIZATIONAL-UNIT-OPS-TEAM-01,POS-198,Operations Officer,Operations Officer,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-OPS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP199,Zara Tariq,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-199,Customer Support Representative,Support Executive,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-CS-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP200,Ahmad Abbasi,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-200,Senior Support Executive,Senior Support Executive,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-CS-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP201,Taha Saeed,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,EXEC-HR-HEAD,Head of HR,Head of HR,Executive,Executive,Manager/Head,Department Head,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP202,Usman Hashmi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,POS-201,HR Manager,HR Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP203,Zainab Awan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR,POS-202,HR Manager,HR Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-HR-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP204,Mahnoor Khan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-203,Senior HR Business Partner,Senior HR Business Partner,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-HR-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP205,Farhan Nadeem,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-204,Senior HR Business Partner,Senior HR Business Partner,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-HR-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP206,Minal Abbasi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-205,Senior HR Business Partner,Senior HR Business Partner,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-HR-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP207,Nida Sultan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-206,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP208,Omar Rauf,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,POS-207,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP209,Adnan Aziz,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-208,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP210,Maha Latif,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-209,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP211,Adnan Abbasi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-210,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP212,Talha Saleem,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-211,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP213,Talha Khalid,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-212,HR Officer,HR Officer,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-HR-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP214,Talha Ejaz,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-213,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP215,Mehwish Baig,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-214,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP216,Sana Mahmood,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-215,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP217,Laiba Qureshi,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-216,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP218,Laiba Zafar,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-217,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP219,Komal Yousaf,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-03,POS-218,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP220,Taha Saleem,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-219,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP221,Anam Akhtar,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-220,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP222,Farhan Khan,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-221,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP223,Talha Mahmood,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-222,HR Assistant,HR Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-HR-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP224,Laiba Ali,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,POS-223,HR Intern,HR Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-HR-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP225,Noor Rauf,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-02,POS-224,HR Intern,HR Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-HR-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP226,Taha Raza,DEPARTMENT-001,HR,Corporate Services,ORGANIZATIONAL-UNIT-HR-TEAM-01,POS-225,HR Intern,HR Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-HR-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP227,Fahad Sheikh,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,EXEC-FIN-HEAD,Head of Finance,Head of Finance,Executive,Executive,Manager/Head,Department Head,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP228,Ahmed Farooq,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-226,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP229,Danish Sultan,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-227,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP230,Saba Nadeem,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-228,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP231,Ayesha Aziz,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-229,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP232,Raza Iqbal,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN,POS-230,Finance Manager,Finance Manager,Lead/Manager,Management,Manager/Head,Manager/Lead,Yes,Team/Department,PT-FIN-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP233,Eman Akhtar,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-231,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP234,Hira Qureshi,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-232,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP235,Farhan Munir,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-233,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP236,Anam Nadeem,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-234,Financial Analyst,Financial Analyst,Mid,Professional,Professional/Mid-level,Individual Contributor,No,Individual,PT-FIN-PROFESSIONAL,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP237,Areeba Munir,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-235,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP238,Kinza Ali,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-236,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP239,Komal Sultan,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-237,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP240,Eman Latif,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-238,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP241,Mahnoor Hameed,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-239,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP242,Mehwish Dar,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-240,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP243,Mehwish Khalid,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-241,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP244,Saad Rauf,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-242,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP245,Ayesha Habib,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-243,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP246,Ahmed Zafar,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-02,POS-244,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP247,Maha Aslam,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-245,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP248,Anam Zafar,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-246,Accounts Assistant,Accounts Assistant,Junior,Entry Level,Junior/Assistant,Individual Contributor,No,Individual,PT-FIN-JUNIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP249,Noor Qureshi,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-01,POS-247,Finance Intern,Finance Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-FIN-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP250,Taha Malik,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-248,Finance Intern,Finance Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-FIN-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP251,Mahnoor Javed,DEPARTMENT-002,Finance,Corporate Services,ORGANIZATIONAL-UNIT-FIN-TEAM-03,POS-249,Finance Intern,Finance Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-FIN-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP252,Iqra Ismail,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL,EXEC-SAL-HEAD,Head of Sales,Head of Sales,Executive,Executive,Manager/Head,Department Head,Yes,Team/Department,PT-SAL-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP253,Hassan Nawaz,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-250,Senior Account Manager,Senior Account Manager,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP254,Farhan Awan,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-251,Senior Account Manager,Senior Account Manager,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP255,Rabia Rashid,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-252,Senior Account Manager,Senior Account Manager,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-SAL-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP256,Omar Farooq,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-253,Sales Intern,Sales Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-SAL-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP257,Adnan Baig,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-02,POS-254,Sales Intern,Sales Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-SAL-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP258,Ayesha Khalid,DEPARTMENT-003,Sales,Commercial Services,ORGANIZATIONAL-UNIT-SAL-TEAM-01,POS-255,Sales Intern,Sales Intern,Intern,Internship,Intern/Trainee,Individual Contributor,No,Individual,PT-SAL-INTERN,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP259,Usman Nasir,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS,EXEC-CS-HEAD,Head of Customer Support,Head of Customer Support,Executive,Executive,Manager/Head,Department Head,Yes,Team/Department,PT-CS-MANAGER,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP260,Rabia Farooq,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-03,POS-256,Senior Customer Support Specialist,Senior Customer Support Specialist,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-CS-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP261,Anam Ahmed,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-01,POS-257,Senior Customer Support Specialist,Senior Customer Support Specialist,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-CS-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
EMP262,Omar Riaz,DEPARTMENT-004,Customer Support,Commercial Services,ORGANIZATIONAL-UNIT-CS-TEAM-02,POS-258,Senior Customer Support Specialist,Senior Customer Support Specialist,Senior,Senior Professional,Senior/Lead,Senior Individual Contributor,No,Individual + Mentoring,PT-CS-SENIOR,PC-2025-2026-ANNUAL,Mapped,2025-09-01,,2026-08-01
